,Place ID,Name,Latitude,Longitude,Address
0,ChIJTdsNhkoem0cRQQjpLH0-crQ,Coop Supermarkt St. Gallen Bahnhof,47.4223606,9.3686299,"Bahnhofpl. 8A, St. Gallen"
1,ChIJ-_C2_x_gmkcRNDBXIGkZovQ,SPAR Supermarkt Wolfganghof,47.4028179,9.3368042,"Wolfganghof 2, St. Gallen"
2,ChIJDa_VlVUfm0cRmXblZ0jwg48,ALDI SUISSE,47.4219374,9.3700459,"St. Leonhard-Strasse 39, St. Gallen"
4,ChIJQd4S_Esem0cRCLjZqteugDs,Coop Supermarkt City St. Gallen Food,47.4261947,9.3768933,"Bohl 6, St. Gallen"
5,ChIJaaUZ2iremkcRKb3fhRWOQug,SPAR Supermarkt,47.3856686,9.280847,"Kasernenstrasse 2, Herisau"
6,ChIJ7_jYLybgmkcRTTLPLpJqweA,Coop Supermarkt St. Gallen Lerchenfeld,47.4127498,9.3358925,"Lerchenfeld CH, Zürcherstrasse 204, St. Gallen"
7,ChIJG4unF24im0cRql0JZIzgA8s,SPAR Supermarkt Gais,47.362897,9.454783,"Schwantlern 3, Gais"
8,ChIJ9YnZvlI8m0cRAjfPI6M0Qy0,Coop Supermarkt Oberriet,47.3237625,9.568749,"Bahnhofstrasse 2, Oberriet"
9,ChIJQd4S_Esem0cRYFeLpyMP4X4,Coop Supermarkt St. Gallen Neugasse,47.4243378,9.3743853,"Neugasse 48, St. Gallen"
10,ChIJf0Qjrn4hm0cRWr7bC8rtcDc,Coop Supermarkt Appenzell,47.3334892,9.4067887,"Zielstrasse 13, Appenzell"
11,ChIJFSiWs8Aom0cRMwiJs-85Dks,SPAR Supermarkt Wildhaus,47.20357420000001,9.3503583,"Dorf 3, Wildhaus"
12,ChIJlZzlLcvhmkcRsCg3wyLlf7I,SPAR Supermarkt Abtwil,47.42255590000001,9.3179118,"Auwiesenstrasse 24, Abtwil SG"
14,ChIJoerzCcY7m0cRM6O5JI3us4Q,SPAR,47.25654429999999,9.5658735,"Rheinstraße 54, Feldkirch"
15,ChIJkUr0a3cfm0cRCgM2fUSO0Y0,SPAR Supermarkt Teufen,47.390957,9.385693,"Hauptstrasse 2, Teufen"
16,ChIJCc18qUsem0cRJ2FbQeWhD78,Coop Pronto Shop St. Gallen Kornhausstrasse,47.4225275,9.3715834,"Kornhausstrasse 18, St. Gallen"
